county,fact,fact_label,verdict,matched_text,why,pages_captured
anderson,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
anderson,election_date,Next election date,Never states it,,no election-day date found in election context,2
anderson,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
anderson,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
andrews,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
andrews,election_date,Next election date,Never states it,,no election-day date found in election context,5
andrews,registration_deadline,Registration deadline,Shows only a past election,"[early_voting] Tuesday, May 26, 2026 Election","latest date stated is (2026, 5, 26), already past",5
andrews,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
angelina,polling_hours,Polling hours,Matches expected,"[elections] , 2026 7:00 a.m. To 7:00 p.m.",parsed 7:00-19:00,2
angelina,election_date,Next election date,Never states it,,no election-day date found in election context,2
angelina,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
angelina,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
aransas,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
aransas,election_date,Next election date,Never states it,,no election-day date found in election context,5
aransas,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
aransas,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
archer,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
archer,election_date,Next election date,Never states it,,no election-day date found in election context,2
archer,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
archer,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
armstrong,polling_hours,Polling hours,Matches expected,[elections] 7AM - 7PM (open during lunch),parsed 7:00-19:00,2
armstrong,election_date,Next election date,Matches expected,"[elections] November 03, 2026 General Election","(2026, 11, 3)",2
armstrong,registration_deadline,Registration deadline,Matches expected,[elections] ▲,"(2026, 10, 5)",2
armstrong,early_voting_window,Early voting window,States something else,"[elections] November 03, 2026 General Election","states [(2026, 11, 3), (2026, 11, 3)], expected (2026, 10, 19)..(2026, 10, 30)",2
atascosa,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,4
atascosa,election_date,Next election date,Matches expected,"[elections] November 3, 2026","(2026, 11, 3)",4
atascosa,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,4
atascosa,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,4
austin,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,3
austin,election_date,Next election date,Never states it,,no election-day date found in election context,3
austin,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,3
austin,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,3
bailey,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
bailey,election_date,Next election date,Matches expected,"[elections] Campaign Finance - November 3, 2026","(2026, 11, 3)",2
bailey,registration_deadline,Registration deadline,Shows only a past election,[elections] Último día para solicitar la boleta por correo),"latest date stated is (2026, 5, 22), already past",2
bailey,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
bandera,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
bandera,election_date,Next election date,Shows only a past election,"[early_voting] Mar. 3, 2026  Primary","latest date stated is (2026, 3, 3), already past",5
bandera,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
bandera,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
bastrop,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
bastrop,election_date,Next election date,Matches expected,"[polling] November 3, 2026","(2026, 11, 3)",5
bastrop,registration_deadline,Registration deadline,Matches expected,[polling] Important Dates:,"(2026, 10, 5)",5
bastrop,early_voting_window,Early voting window,Matches expected,[polling] First Day of Early Voting:,"(2026, 10, 19)..(2026, 10, 30)",5
baylor,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
baylor,election_date,Next election date,Shows only a past election,"[elections] May 26, 2026","latest date stated is (2026, 5, 26), already past",2
baylor,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
baylor,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
bee,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
bee,election_date,Next election date,Never states it,,no election-day date found in election context,2
bee,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
bee,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
bell,polling_hours,Polling hours,Matches expected,[elections] Election Day 7:00 am - 7:00 pm,parsed 7:00-19:00,5
bell,election_date,Next election date,Matches expected,"[elections] Tuesday, November 3, 2026","(2026, 11, 3)",5
bell,registration_deadline,Registration deadline,Matches expected,"[elections] Monday, October 5, 2026","(2026, 10, 5)",5
bell,early_voting_window,Early voting window,States something else,[elections] :,"states [(2026, 10, 23), (2026, 10, 24)], expected (2026, 10, 19)..(2026, 10, 30)",5
bexar,polling_hours,Polling hours,Matches expected,"[polling] Election day voting is from 7:00 AM to 7:00 PM. For more election resources, visit the",parsed 7:00-19:00,5
bexar,election_date,Next election date,Matches expected,"[elections] November 3, 2026, General Election","(2026, 11, 3)",5
bexar,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
bexar,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
blanco,polling_hours,Polling hours,Matches expected,[elections] 7:00 AM - 7:00 PM,parsed 7:00-19:00,3
blanco,election_date,Next election date,Matches expected,"[elections] NOVEMBER 3, 2026 GENERAL ELECTION","(2026, 11, 3)",3
blanco,registration_deadline,Registration deadline,Matches expected,[elections] Last Day to Register to Vote,"(2026, 10, 5)",3
blanco,early_voting_window,Early voting window,States something else,"[elections] Friday, August 21, 2026","states [(2026, 8, 21), (2026, 10, 5)], expected (2026, 10, 19)..(2026, 10, 30)",3
borden,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
borden,election_date,Next election date,Never states it,,no election-day date found in election context,2
borden,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
borden,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
bosque,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
bosque,election_date,Next election date,Never states it,,no election-day date found in election context,2
bosque,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
bosque,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
bowie,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
bowie,election_date,Next election date,Never states it,,no election-day date found in election context,5
bowie,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
bowie,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
brazoria,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,1
brazoria,election_date,Next election date,Never states it,,no election-day date found in election context,1
brazoria,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,1
brazoria,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,1
brazos,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
brazos,election_date,Next election date,Shows only a past election,"[early_voting] Election Day: May 26, 2026","latest date stated is (2026, 5, 26), already past",5
brazos,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
brazos,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
brewster,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
brewster,election_date,Next election date,Never states it,,no election-day date found in election context,2
brewster,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
brewster,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
briscoe,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
briscoe,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Election","(2026, 11, 3)",2
briscoe,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
briscoe,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
brooks,polling_hours,Polling hours,Matches expected,"[elections] April 27, 2026 & Tuesday, April 28, 2026 @ 7 AM - 7 PM",parsed 7:00-19:00,2
brooks,election_date,Next election date,Matches expected,"[elections] Write-in Candidate Filing Process – November 3, 2026 General Election","(2026, 11, 3)",2
brooks,registration_deadline,Registration deadline,Shows only a past election,[elections] L&A Testing & HASH Testing for Equipment and Electronic Voting System,"latest date stated is (2026, 5, 2), already past",2
brooks,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
brown,polling_hours,Polling hours,Matches expected,"[elections] October 30th, 2026      7:00am - 7:00pm",parsed 7:00-19:00,2
brown,election_date,Next election date,Matches expected,"[elections] November 3rd, 2026 General Election","(2026, 11, 3)",2
brown,registration_deadline,Registration deadline,Matches expected,[elections] Governor Greg Abbott's Proclamation,"(2026, 10, 5)",2
brown,early_voting_window,Early voting window,Matches expected,"[elections] Last Day to Register to Vote: Monday, October 5, 2026","(2026, 10, 19)..(2026, 10, 30)",2
burleson,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
burleson,election_date,Next election date,Never states it,,no election-day date found in election context,5
burleson,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
burleson,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
burnet,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
burnet,election_date,Next election date,Matches expected,"[early_voting] November 3, 2026 General Election","(2026, 11, 3)",5
burnet,registration_deadline,Registration deadline,Matches expected,[early_voting] First day to apply for a ballot by mail,"(2026, 10, 5)",5
burnet,early_voting_window,Early voting window,Matches expected,[early_voting] First day of Early Voting,"(2026, 10, 19)..(2026, 10, 30)",5
caldwell,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
caldwell,election_date,Next election date,Matches expected,"[early_voting] General Election - November 3, 2026 (Click to View)","(2026, 11, 3)",5
caldwell,registration_deadline,Registration deadline,Matches expected,[elections] Date,"(2026, 10, 5)",5
caldwell,early_voting_window,Early voting window,States something else,[elections] Last Day to Register to Vote,"states [(2026, 10, 5), (2026, 10, 19)], expected (2026, 10, 19)..(2026, 10, 30)",5
calhoun,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,4
calhoun,election_date,Next election date,Matches expected,"[elections] November 3, 2026 – Order of Election","(2026, 11, 3)",4
calhoun,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,4
calhoun,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,4
callahan,polling_hours,Polling hours,Matches expected,[elections] Hours: 7:00 AM - 7:00 PM,parsed 7:00-19:00,2
callahan,election_date,Next election date,Matches expected,"[elections] November 3, 2026, General Election","(2026, 11, 3)",2
callahan,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
callahan,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
cameron,polling_hours,Polling hours,Matches expected,[results] Locations are open from 7 a.m. to 7 p.m. on Election Day.,parsed 7:00-19:00,5
